journalId,volumeId
f99f77b7-b1b6-44d3-984a-f288e9884b9b,70af0ca8-7a10-4268-8f67-61569fa88cf0
643a31e6-3016-4604-beca-0edfc0e2a834,fac3ccb9-0c02-4a3d-ba63-8040ad0e3965
8506a01a-40b8-4e6f-bbb8-ce2492139c15,380797bb-bbc0-4a33-8a37-631365c91c48
4c1bc8cf-5a6c-4b67-8d4a-dbc2ce7a06ae,34c21898-1d67-48e7-8e97-098e303be5c9
91b19bbf-b6f0-46c2-bbec-6bcfb5463d4d,4158eac0-efce-410a-9fe4-2af8a08c2a7d
2c848e20-374c-474b-a180-a4e0cf3cf947,e2dc950a-7a8d-4221-a0ef-0a4cf1249d29
83b61ff8-462d-4e1d-b43b-5d96fcc87766,61852275-01b9-49d6-ace3-49593d8f763d
8f99db2e-5ab5-462f-829a-8eeced9b7be1,f0f5400a-709c-4acc-b908-a4a3133e5ca1
25248f80-fe99-48e5-9b8e-9baef3b8e23b,4ff1b66d-187f-4839-9d97-68d20d7683dc
5fa47c5b-3769-4934-b526-7192a1720a78,3571bb9b-6495-451c-a7b0-9852a04d7893
8506a01a-40b8-4e6f-bbb8-ce2492139c15,ef06c0d3-1058-40d0-9f36-d72394c04bdb
fd4675fe-4136-446c-aefd-3658aae698ac,24b9776b-5395-4642-a263-3defd9de04ff
91b19bbf-b6f0-46c2-bbec-6bcfb5463d4d,bb9c7237-c9db-4794-b934-4141adb312a5
9f1937fb-4eb5-485c-996b-9d546e352cb4,cc54b127-0c67-4a8c-81e1-9c799c46dd7b
8506a01a-40b8-4e6f-bbb8-ce2492139c15,802eedd5-53ce-4276-8312-40ef52562cdf
fa1f0815-0811-4291-b4fc-8230a6c9bf5b,2e5b312c-3bc5-4a59-aa8a-7be3e8afb5e5
91b19bbf-b6f0-46c2-bbec-6bcfb5463d4d,04895c79-2bef-422a-8c32-ee2398b2761b
03446d0e-493b-4f36-9ec4-e9279e4747aa,1dc3469d-4e9e-4323-b70b-e1a4cef49e9a
6b515834-8065-438e-8a99-175de02e242a,ab90e8e8-5a5e-489b-a896-0f3641dedd0d
42a95f72-e74e-4b59-a4e0-3afae6e109c2,8b7a4a4c-98b2-4fa1-a931-85aa1415a90e
0aed7a40-85f3-4c66-9e1b-c1556c57001b,b30c9153-92dc-45a8-9f67-a2d98a067cb6
fa1f0815-0811-4291-b4fc-8230a6c9bf5b,4646700b-3750-42ce-b65c-ca55b49e8a11
92d34d37-5c4b-4e11-b461-9041b7de4c2d,b0a4eb78-b721-4518-b45f-421ff1f24d30
e696c44c-baef-439c-bb1f-12bfe905eb77,fb1ed757-19e3-44be-9f35-8853517a603b
